event_time,event_type,channel,category_code,price,user_id
2023-01-11 23:15:00,view,Instagram,electronics.smartphone,952.76,394883
2023-01-01 14:20:00,view,Google Ads,appliances.kitchen.refrigerators,74.05,826867
2023-01-27 11:58:00,view,Instagram,furniture.living_room.sofa,460.19,184895
2023-01-08 20:04:00,view,Organic Search,appliances.kitchen.refrigerators,861.73,897769
2023-01-05 08:25:00,view,Organic Search,computers.notebook,338.99,479976
2023-01-12 16:50:00,view,Google Ads,furniture.living_room.sofa,410.1,571566
2023-01-26 19:54:00,view,Google Ads,computers.notebook,539.17,275625
2023-01-16 06:02:00,cart,Instagram,furniture.living_room.sofa,674.49,773308
2023-01-12 03:03:00,view,Instagram,electronics.smartphone,666.27,741907
2023-01-29 12:50:00,view,Email,electronics.smartphone,337.43,826708
2023-01-02 04:05:00,view,Google Ads,computers.notebook,938.82,246117
2023-01-01 12:49:00,view,Instagram,furniture.living_room.sofa,725.55,530795
2023-01-02 16:33:00,view,Google Ads,electronics.smartphone,655.07,853545
2023-01-04 16:31:00,view,Instagram,appliances.kitchen.refrigerators,463.68,354060
2023-01-27 06:19:00,view,Google Ads,appliances.kitchen.refrigerators,225.21,755194
2023-01-28 05:08:00,view,Organic Search,appliances.kitchen.refrigerators,944.69,960854
2023-01-13 04:48:00,view,Instagram,furniture.living_room.sofa,545.58,584794
2023-01-14 17:29:00,view,Organic Search,furniture.living_room.sofa,512.81,273660
2023-01-20 22:13:00,view,Instagram,appliances.kitchen.dishwasher,787.55,796895
2023-01-05 10:36:00,cart,Email,furniture.living_room.sofa,636.55,672390
2023-01-20 02:00:00,cart,Referral,appliances.kitchen.dishwasher,57.29,706964
2023-01-29 18:34:00,view,Instagram,computers.notebook,109.6,614335
2023-01-18 19:38:00,cart,Email,furniture.living_room.sofa,172.92,474812
2023-01-14 03:42:00,purchase,Organic Search,furniture.living_room.sofa,273.71,693141
2023-01-13 19:11:00,view,Google Ads,furniture.living_room.sofa,891.87,276332
2023-01-02 21:47:00,view,Google Ads,appliances.kitchen.dishwasher,293.74,418401
2023-01-01 03:09:00,view,Google Ads,computers.notebook,343.05,785059
2023-01-14 06:38:00,cart,Email,furniture.living_room.sofa,831.4,411261
2023-01-25 20:13:00,cart,Email,computers.notebook,518.6,776481
2023-01-02 07:39:00,cart,Google Ads,appliances.kitchen.dishwasher,899.21,671866
2023-01-01 21:07:00,cart,Organic Search,appliances.kitchen.dishwasher,937.0,921372
2023-01-22 21:51:00,purchase,Email,furniture.living_room.sofa,918.5,692797
2023-01-08 21:54:00,purchase,Email,appliances.kitchen.refrigerators,923.69,331578
2023-01-03 11:16:00,view,Google Ads,furniture.living_room.sofa,702.69,291814
2023-01-03 16:50:00,cart,Instagram,computers.notebook,123.41,366264
2023-01-29 21:26:00,view,Google Ads,furniture.living_room.sofa,829.85,490498
2023-01-22 08:20:00,view,Organic Search,furniture.living_room.sofa,565.9,421663
2023-01-11 01:42:00,view,Email,electronics.smartphone,756.58,285671
2023-01-16 02:57:00,cart,Instagram,appliances.kitchen.dishwasher,233.21,935712
2023-01-08 09:07:00,view,Email,electronics.smartphone,647.23,670203
2023-01-07 02:32:00,view,Email,appliances.kitchen.refrigerators,500.08,854043
2023-01-30 21:01:00,view,Google Ads,computers.notebook,778.7,878941
2023-01-06 20:33:00,view,Google Ads,electronics.smartphone,113.49,282475
2023-01-30 20:41:00,view,Referral,appliances.kitchen.dishwasher,583.61,329466
2023-01-08 15:36:00,view,Email,electronics.smartphone,443.8,209621
2023-01-17 14:17:00,view,Referral,electronics.smartphone,921.94,746570
2023-01-02 19:32:00,view,Google Ads,appliances.kitchen.dishwasher,606.55,990190
2023-01-17 07:23:00,view,Google Ads,appliances.kitchen.refrigerators,805.36,316697
2023-01-12 21:59:00,cart,Organic Search,appliances.kitchen.dishwasher,471.69,798197
2023-01-29 11:14:00,view,Referral,furniture.living_room.sofa,837.66,889750
2023-01-11 02:21:00,view,Referral,furniture.living_room.sofa,563.04,776556
2023-01-25 22:40:00,view,Google Ads,appliances.kitchen.refrigerators,600.77,733684
2023-01-19 10:11:00,view,Google Ads,appliances.kitchen.dishwasher,688.81,430090
2023-01-02 02:25:00,view,Organic Search,computers.notebook,891.09,717743
2023-01-03 17:43:00,purchase,Email,furniture.living_room.sofa,674.8,837936
2023-01-17 14:59:00,view,Instagram,furniture.living_room.sofa,840.63,189490
2023-01-14 12:17:00,cart,Organic Search,computers.notebook,638.6,948824
2023-01-01 17:01:00,view,Google Ads,electronics.smartphone,300.28,696222
2023-01-09 02:13:00,cart,Google Ads,appliances.kitchen.refrigerators,896.45,522651
2023-01-10 07:37:00,purchase,Email,appliances.kitchen.dishwasher,295.43,296119
2023-01-29 07:17:00,cart,Google Ads,computers.notebook,337.65,902151
2023-01-07 17:32:00,cart,Organic Search,computers.notebook,935.45,135185
2023-01-05 18:33:00,cart,Google Ads,furniture.living_room.sofa,235.07,240415
2023-01-04 22:35:00,view,Email,furniture.living_room.sofa,556.97,315743
2023-01-01 02:41:00,view,Instagram,furniture.living_room.sofa,371.75,612730
2023-01-26 17:45:00,cart,Instagram,appliances.kitchen.dishwasher,813.62,775960
2023-01-19 10:37:00,view,Instagram,appliances.kitchen.dishwasher,321.07,689988
2023-01-24 10:43:00,view,Organic Search,appliances.kitchen.dishwasher,384.11,822737
2023-01-23 15:26:00,view,Google Ads,furniture.living_room.sofa,613.89,307490
2023-01-09 00:14:00,purchase,Google Ads,furniture.living_room.sofa,583.15,496533
2023-01-21 05:27:00,view,Instagram,computers.notebook,317.32,563577
2023-01-29 01:17:00,view,Google Ads,electronics.smartphone,965.78,211507
2023-01-18 22:51:00,view,Google Ads,electronics.smartphone,932.07,747063
2023-01-01 16:56:00,purchase,Google Ads,electronics.smartphone,841.36,249417
2023-01-17 20:13:00,view,Google Ads,appliances.kitchen.dishwasher,788.18,780887
2023-01-17 20:36:00,view,Google Ads,electronics.smartphone,924.48,726220
2023-01-17 03:27:00,view,Instagram,furniture.living_room.sofa,317.08,275541
2023-01-17 21:00:00,view,Referral,electronics.smartphone,877.05,782792
2023-01-06 22:09:00,purchase,Google Ads,appliances.kitchen.dishwasher,912.06,665568
2023-01-12 23:42:00,view,Email,computers.notebook,822.47,604969
2023-01-07 10:28:00,view,Referral,furniture.living_room.sofa,866.89,680287
2023-01-15 18:31:00,cart,Organic Search,appliances.kitchen.dishwasher,398.12,398083
2023-01-09 11:05:00,view,Instagram,computers.notebook,922.79,284789
2023-01-15 18:03:00,view,Google Ads,electronics.smartphone,855.54,619919
2023-01-28 03:39:00,purchase,Google Ads,electronics.smartphone,91.47,394271
2023-01-06 22:51:00,view,Referral,furniture.living_room.sofa,627.42,354500
2023-01-28 18:16:00,cart,Instagram,furniture.living_room.sofa,118.04,214276
2023-01-27 10:04:00,view,Organic Search,appliances.kitchen.dishwasher,315.83,163917
2023-01-29 07:34:00,view,Instagram,electronics.smartphone,329.99,842147
2023-01-02 18:48:00,view,Google Ads,electronics.smartphone,551.92,417822
2023-01-02 09:47:00,view,Instagram,furniture.living_room.sofa,960.54,309694
2023-01-02 20:55:00,view,Organic Search,appliances.kitchen.dishwasher,508.01,213175
2023-01-04 15:38:00,view,Google Ads,electronics.smartphone,728.1,908473
2023-01-16 06:42:00,cart,Referral,computers.notebook,145.16,524165
2023-01-28 10:24:00,view,Instagram,electronics.smartphone,19.55,432465
2023-01-24 00:39:00,view,Google Ads,furniture.living_room.sofa,831.48,957813
2023-01-10 17:06:00,cart,Google Ads,furniture.living_room.sofa,298.31,180205
2023-01-09 19:06:00,view,Google Ads,electronics.smartphone,831.68,198300
2023-01-27 20:20:00,view,Organic Search,furniture.living_room.sofa,120.32,177112
2023-01-03 11:21:00,view,Organic Search,appliances.kitchen.dishwasher,496.22,584106
2023-01-19 15:34:00,view,Google Ads,electronics.smartphone,383.5,608419
2023-01-28 01:12:00,view,Google Ads,electronics.smartphone,515.97,864587
2023-01-16 17:42:00,view,Email,appliances.kitchen.refrigerators,545.93,470706
2023-01-06 19:52:00,cart,Instagram,electronics.smartphone,952.0,559440
2023-01-22 04:55:00,view,Organic Search,appliances.kitchen.dishwasher,563.42,642623
2023-01-10 01:47:00,cart,Google Ads,appliances.kitchen.dishwasher,386.09,761653
2023-01-17 09:19:00,view,Referral,appliances.kitchen.dishwasher,315.24,778762
2023-01-25 11:02:00,view,Google Ads,appliances.kitchen.dishwasher,811.47,139580
2023-01-09 05:17:00,view,Google Ads,electronics.smartphone,139.23,556423
2023-01-10 17:59:00,view,Google Ads,electronics.smartphone,456.24,124109
2023-01-22 09:38:00,view,Google Ads,appliances.kitchen.dishwasher,811.24,863916
2023-01-14 06:35:00,view,Email,furniture.living_room.sofa,751.7,307417
2023-01-08 14:45:00,view,Instagram,appliances.kitchen.dishwasher,826.67,118465
2023-01-18 00:58:00,view,Instagram,appliances.kitchen.dishwasher,856.63,896825
2023-01-30 12:50:00,purchase,Google Ads,furniture.living_room.sofa,390.41,873710
2023-01-04 12:16:00,view,Referral,appliances.kitchen.refrigerators,870.25,500346
2023-01-23 13:22:00,cart,Google Ads,appliances.kitchen.refrigerators,623.59,118121
2023-01-06 15:10:00,view,Email,appliances.kitchen.dishwasher,221.35,331857
2023-01-10 13:33:00,view,Organic Search,computers.notebook,148.74,227034
2023-01-19 22:26:00,cart,Google Ads,electronics.smartphone,75.64,420558
2023-01-13 02:12:00,cart,Google Ads,furniture.living_room.sofa,505.78,411066
2023-01-24 02:30:00,view,Google Ads,appliances.kitchen.refrigerators,587.31,445061
2023-01-05 19:10:00,view,Email,electronics.smartphone,859.04,251423
2023-01-18 16:06:00,view,Email,appliances.kitchen.refrigerators,663.79,759533
2023-01-01 03:26:00,purchase,Google Ads,appliances.kitchen.refrigerators,770.9,137951
2023-01-15 22:38:00,view,Google Ads,computers.notebook,606.06,918266
2023-01-16 12:41:00,view,Organic Search,furniture.living_room.sofa,704.83,489573
2023-01-17 06:19:00,view,Organic Search,computers.notebook,718.25,413543
2023-01-29 20:03:00,view,Referral,electronics.smartphone,908.04,912591
2023-01-16 13:23:00,cart,Google Ads,computers.notebook,781.02,543605
2023-01-13 14:21:00,view,Google Ads,appliances.kitchen.dishwasher,199.04,835368
2023-01-11 07:00:00,view,Google Ads,appliances.kitchen.dishwasher,408.73,523053
2023-01-29 00:22:00,cart,Instagram,appliances.kitchen.dishwasher,355.58,991424
2023-01-05 10:14:00,view,Email,furniture.living_room.sofa,793.36,353303
2023-01-02 03:58:00,purchase,Google Ads,computers.notebook,628.26,546788
2023-01-24 11:47:00,view,Instagram,electronics.smartphone,684.32,770925
2023-01-12 05:58:00,view,Organic Search,furniture.living_room.sofa,756.93,173144
2023-01-07 21:14:00,view,Instagram,furniture.living_room.sofa,276.57,695138
2023-01-20 08:50:00,view,Google Ads,appliances.kitchen.dishwasher,522.26,654315
2023-01-16 11:39:00,view,Organic Search,appliances.kitchen.dishwasher,654.33,819786
2023-01-30 13:17:00,view,Organic Search,appliances.kitchen.refrigerators,224.63,837746
2023-01-02 20:53:00,view,Google Ads,appliances.kitchen.dishwasher,317.95,794468
2023-01-21 11:07:00,cart,Referral,furniture.living_room.sofa,983.13,824368
2023-01-21 15:23:00,view,Instagram,electronics.smartphone,961.17,712152
2023-01-03 12:27:00,view,Referral,computers.notebook,818.53,450858
2023-01-19 00:19:00,view,Email,appliances.kitchen.dishwasher,718.24,249785
2023-01-30 19:41:00,view,Google Ads,furniture.living_room.sofa,565.41,137055
2023-01-16 03:54:00,view,Organic Search,furniture.living_room.sofa,128.62,307526
2023-01-13 12:47:00,cart,Instagram,electronics.smartphone,281.83,642391
2023-01-19 03:05:00,view,Google Ads,appliances.kitchen.refrigerators,813.69,219465
2023-01-08 02:30:00,view,Google Ads,computers.notebook,416.76,654639
2023-01-11 21:47:00,view,Organic Search,furniture.living_room.sofa,236.78,515539
2023-01-16 06:16:00,view,Organic Search,computers.notebook,339.17,283264
2023-01-17 12:16:00,view,Google Ads,furniture.living_room.sofa,764.41,563086
2023-01-21 21:20:00,view,Organic Search,furniture.living_room.sofa,368.08,296709
2023-01-01 21:46:00,view,Email,computers.notebook,268.82,446492
2023-01-05 16:56:00,view,Organic Search,furniture.living_room.sofa,650.56,308196
2023-01-19 22:11:00,view,Organic Search,electronics.smartphone,864.08,813140
2023-01-07 13:54:00,cart,Instagram,appliances.kitchen.refrigerators,275.68,980847
2023-01-28 23:34:00,view,Instagram,appliances.kitchen.dishwasher,529.71,165781
2023-01-16 05:59:00,view,Google Ads,appliances.kitchen.refrigerators,705.44,764499
2023-01-04 20:10:00,purchase,Organic Search,electronics.smartphone,91.91,127195
2023-01-21 08:40:00,purchase,Email,electronics.smartphone,797.98,389690
2023-01-03 14:28:00,view,Google Ads,appliances.kitchen.dishwasher,698.16,957485
2023-01-23 04:48:00,view,Google Ads,furniture.living_room.sofa,243.91,343097
2023-01-23 14:42:00,view,Organic Search,appliances.kitchen.dishwasher,243.91,224518
2023-01-10 09:45:00,view,Google Ads,appliances.kitchen.refrigerators,681.49,735145
2023-01-01 11:03:00,cart,Instagram,computers.notebook,168.48,591067
2023-01-25 03:26:00,purchase,Email,computers.notebook,93.35,344668
2023-01-06 13:14:00,view,Email,furniture.living_room.sofa,490.85,758654
2023-01-20 11:01:00,view,Organic Search,appliances.kitchen.refrigerators,378.42,756937
2023-01-22 01:03:00,view,Google Ads,computers.notebook,791.6,341125
2023-01-03 07:04:00,view,Google Ads,appliances.kitchen.dishwasher,797.93,800495
2023-01-28 07:53:00,view,Email,appliances.kitchen.refrigerators,121.33,734665
2023-01-13 06:35:00,view,Organic Search,appliances.kitchen.dishwasher,518.55,155238
2023-01-17 14:58:00,cart,Organic Search,appliances.kitchen.refrigerators,947.7,577619
2023-01-17 10:24:00,view,Google Ads,furniture.living_room.sofa,869.78,901062
2023-01-02 03:16:00,view,Google Ads,electronics.smartphone,557.39,763510
2023-01-14 22:40:00,view,Google Ads,appliances.kitchen.refrigerators,642.97,613017
2023-01-20 06:08:00,view,Google Ads,computers.notebook,902.85,594764
2023-01-19 13:36:00,view,Organic Search,furniture.living_room.sofa,483.27,463907
2023-01-20 21:53:00,view,Google Ads,electronics.smartphone,369.02,996545
2023-01-27 01:05:00,view,Google Ads,electronics.smartphone,792.39,677892
2023-01-01 14:14:00,view,Google Ads,appliances.kitchen.refrigerators,842.31,821396
2023-01-18 01:08:00,view,Instagram,appliances.kitchen.dishwasher,149.49,808599
2023-01-27 19:43:00,view,Email,appliances.kitchen.refrigerators,637.31,507753
2023-01-06 03:12:00,view,Email,furniture.living_room.sofa,839.47,128724
2023-01-15 23:16:00,purchase,Referral,furniture.living_room.sofa,538.94,196906
2023-01-27 18:39:00,view,Organic Search,computers.notebook,139.33,127252
2023-01-19 06:29:00,view,Email,appliances.kitchen.refrigerators,601.73,645940
2023-01-16 05:19:00,cart,Google Ads,computers.notebook,648.69,139065
2023-01-04 10:11:00,view,Organic Search,furniture.living_room.sofa,329.08,698524
2023-01-23 21:30:00,cart,Email,appliances.kitchen.dishwasher,361.61,795668
2023-01-09 19:28:00,view,Google Ads,appliances.kitchen.refrigerators,400.93,862948
2023-01-18 14:22:00,view,Google Ads,electronics.smartphone,274.77,367177
2023-01-26 19:17:00,purchase,Organic Search,electronics.smartphone,698.46,983667
2023-01-02 14:47:00,view,Instagram,computers.notebook,982.45,915578
2023-01-29 07:32:00,cart,Instagram,appliances.kitchen.refrigerators,496.89,265960
2023-01-29 03:45:00,view,Google Ads,furniture.living_room.sofa,952.97,418787
2023-01-01 03:17:00,purchase,Google Ads,appliances.kitchen.dishwasher,684.12,245418
2023-01-17 07:49:00,cart,Organic Search,computers.notebook,377.02,470339
2023-01-25 02:18:00,cart,Instagram,appliances.kitchen.refrigerators,886.43,385919
2023-01-11 11:27:00,cart,Google Ads,appliances.kitchen.dishwasher,594.59,625599
2023-01-16 17:51:00,view,Email,appliances.kitchen.dishwasher,76.74,564558
2023-01-18 11:44:00,view,Instagram,computers.notebook,454.12,168200
2023-01-20 08:08:00,view,Organic Search,electronics.smartphone,791.57,334185
2023-01-30 05:47:00,view,Email,appliances.kitchen.dishwasher,767.57,395943
2023-01-15 08:26:00,view,Instagram,computers.notebook,986.78,100818
2023-01-11 21:48:00,view,Instagram,electronics.smartphone,859.95,413939
2023-01-19 07:30:00,view,Instagram,appliances.kitchen.refrigerators,411.38,821070
2023-01-02 22:51:00,cart,Email,appliances.kitchen.dishwasher,334.83,315799
2023-01-05 13:06:00,view,Email,furniture.living_room.sofa,622.95,185982
2023-01-25 03:14:00,purchase,Instagram,furniture.living_room.sofa,448.46,101029
2023-01-21 23:26:00,purchase,Google Ads,furniture.living_room.sofa,103.64,136631
2023-01-29 13:06:00,cart,Email,electronics.smartphone,403.75,538345
2023-01-08 22:11:00,view,Instagram,appliances.kitchen.refrigerators,307.18,637558
